XCoord;YCoord;OBJECTID_1;NAME;ADDRESS;PHONE;EMAIL;WEBSITE;BRANCHADDRESS;COMMENT_;HOURS;COUNCIL_NAME
138.24040900;-32.93609500;11;Flinders Mobile Library;Main North Rd, Murray Town  5481;8672 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
137.99860200;-33.02244600;12;Flinders Mobile Library;Esplanade, Port Germein   5495;8663 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
138.09958200;-32.65251000;13;Flinders Mobile Library;Main North Rd, Wilmington   5485;8667 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
138.26817500;-33.03295200;14;Flinders Mobile Library;Hillside Rd, Wirrabara   5481;8671 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;The Dc Of Mount Remarkable
137.76413900;-32.49088200;15;Port Augusta Public Library;4 Mackay St, Port Augusta  5700;8641 9151;palibrary@portaugusta.sa.gov.au;http://www.portaugusta.sa.gov.au;NULL;NULL;Mon, Wed, Fri 9am - 6pm, Tues, Thurs 9am - 8pm, Sat 10am - 1pm, Sun 2pm - 5pmAfter hours returns available;Port Augusta City Council
138.83629900;-32.97810400;16;Peterborough Community Library;Queen St, Peterborough  5422;8651 2523;malycha.chris@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;Mon - Fri 9am - 4pm, Sat 9am - 12 noon;The Dc Of Peterborough
135.15548900;-32.85602000;17;Karcultaby School Community Library;Phillips Rd, Karcultaby  5654;8626 3077;library@karcultas.sa.edu.au;http://www.karcultas.sa.edu.au/library.htm;NULL;NULL;Mon 9am - 6pm, Tues - Fri 9am - 3.30pm;Wudinna District Council
135.46176900;-33.04526100;18;Wudinna School Community Library;30 Medley Tce, Wudinna  5652;8680 2194;library@wudinnaas.sa.edu.au;http://www.wudinnaas.sa.edu.au/Library;NULL;NULL;School terms: Mon 9am - 4pm, Tues, Thurs 9am - 5pm, Wed 9am - 6pm , Fri 9am - 4pm, School holidays: Tues 9am - 1pm, Wed 10am - 12 noon, 1pm - 6pm, Thurs 12 noon - 5pm, Fri 9am - 1pm;Wudinna District Council
136.41940400;-33.13553600;19;Kimba School Community Library;69 West Tce, Kimba  5641;8627 2221;francis.therese@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon 9am - 3.30pm, Tues - Fri 9am - 5pm, School holidays: Tues - Fri 10.15am - 12.30pm, 1pm - 4.30pm;The Dc Of Kimba
137.52369800;-33.02656900;20;Whyalla Library Service;Ekblom St, Whyalla Norrie   5608;8645 7891;library@whyalla.sa.gov.au;http://www.whyalla.sa.gov.au;NULL;NULL;Mon - Wed 10am - 5pm Thurs 10am - 7pm Fri 10am - 5pm Sat 9am - 1pm Sun 1pm - 5pm ;The Corporation Of The City Of Whyalla
138.35540000;-33.26780000;21;Flinders Mobile Library;14 Fifth St, Gladstone  5473;8662 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.39258700;-33.35996100;22;Flinders Mobile Library;Main North Rd, Georgetown   5472;8668 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.44327000;-33.46653300;23;Flinders Mobile Library;Railway Tce, Gulnare  5471;8669 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.30046900;-33.18579900;24;Flinders Mobile Library;Civic Centre , Hughes St, Laura  5480;8662 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.60718000;-33.49929300;25;Flinders Mobile Library;Town Hall, Main North Rd, Spalding   5454;8670 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.44449300;-33.57080100;26;Flinders Mobile Library;Main North Rd, Yacka  5470;8676 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Northern Areas Council
138.61026100;-33.20436100;27;Jamestown School Community Library;Humphris Tce, Jamestown  5491;8664 2713;NULL;http://www.jamestnr12.sa.edu.au/Library.htm;NULL;NULL;School terms: Mon - Wed, Fri 9am - 5pm, Thurs 9am - 6pm (7pm daylight saving), School holidays: Tues, Wed, Fri 9am - 5pm, Thurs 10am - 6pm (11am - 7pm daylight saving), Closed for lunch 1pm - 1.30pm;Northern Areas Council
138.93869000;-33.68027700;28;Burra School Community Library;7 Bridge Tce, Burra  5417;8892 2038;burra.library@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;Provides library services at:, Booborowie - next to Willis' office Mon - Fri 9am - 5pm, Hallett - Tues, Thurs 1.30pm - 4.30pm, Terowie - Tues 10am - 12 noon, Thurs 5pm - 6pm;School terms: Mon - Fri 8.30am - 6pm, School holidays: Mon - Fri 11am - 1pm, 2pm - 6pm, After hours returns available;The Regional Council Of Goyder
139.09244800;-34.18109800;29;Eudunda Robertstown School Community Library;2 Reserve Rd, Eudunda  5374;8581 1587;sandy.smith@plain.sa.gov.au;http://www.libraries.sa.gov.au;Robertstown Link Library - [address 7 Commercial St, Robertstown 5381] Tel. 8581 7069 Fax 8581 7098;NULL;NULL;The Regional Council Of Goyder
139.07958500;-33.98987400;30;Robertstown Link Library;7 Commercial St, Robertstown SA 5381;(08) 8581 7209;pmatthew@eudundaas.sa.edu.au;http://www.goyder.sa.gov.au/site/page.cfm?u=100&c=473;NULL;NULL;NULL;The Regional Council Of Goyder
138.20731900;-33.35180400;31;Crystal Brook Public Library;Bowman St, Crystal Brook  5523;8636 2150;library@pirie.sa.gov.au;http://www.pirie.sa.gov.au;NULL;NULL;Tues 9am - 12 noon, Wed, Fri 12 noon - 5pm;Port Pirie Regional Council
138.33313000;-33.58722800;32;Flinders Mobile Library;Town Hall, Sixth St, Koolunga   5464;8675 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Port Pirie Regional Council
138.11355100;-33.15280500;33;Flinders Mobile Library;Oak St, Napperby   5540;8664 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Port Pirie Regional Council
138.22232000;-33.53749600;34;Flinders Mobile Library;Ellis St, Redhill  5521;8674 2305;flindersmobile.library@plain.sa.gov.au;http://www.flindersmobile.sa.gov.au;NULL;NULL;NULL;Port Pirie Regional Council
138.01013700;-33.17654900;35;Port Pirie Public Library;3 Wandearah Rd, Port Pirie  5540;8632 1649;library@pirie.sa.gov.au;http://www.pirie.sa.gov.au;NULL;NULL;Mon - Fri 9am - 6pm, Sat 9am - 1pm, Sun 1pm - 5pm;Port Pirie Regional Council
135.75460100;-33.56786900;36;Lock School Community Library;West Tce, Lock  5633;8689 1015;NULL;http://www.lockas.sa.edu.au;Depots at: Elliston Community Information Centre, tel. 8687 9200 Port Kenny School, tel. 8625 5020 - for Port Kenny and Venus Bay residents;Free tea and coffee available in the Community Corner ;School terms: Mon, Wed 8.30am - 4pm, Tues 8.30am - 6pm, Thurs 8.30am - 4pm, 6pm - 9pm, Fri 8.30am - 5pm School holidays: Tues, Thurs 10am - 7pm, Fri 10am - 5pm;The Dc Of Elliston
136.91860000;-33.68435500;37;Cowell School Community Library;42 Story Rd, Cowell  5602;8629 2320;cowell.library@plain.sa.gov.au;http://www.cowellas.sa.edu.au;NULL;NULL;School terms: Mon 9am - 4pm, Tues - Thurs 9am - 5pm, Fri 9am - 4pm School holidays: Tues - Thurs 11am - 5pm, Fri 11am - 4pm;The Dc Of Franklin Harbour
136.49408800;-33.70037300;38;Cleve School Community Library;Second St, Cleve  5640;8628 2104;honan.margaret@plain.sa.gov.au;http://www.libraries.sa.gov.au;NULL;NULL;School terms:, Mon 9am -12.5pm, 1.35pm - 3.10pm, Wed, Fri 9am - 5pm, Tues, Thurs 9am - 7pm, School holidays:, Tues, Thurs 11am - 2pm, 3pm - 7pm, Wed 10am - 1pm, 2pm - 5pm, Fri 9am - 1pm, 2pm - 5pm;The Dc Of Cleve
137.93384200;-33.59766500;39;Port Broughton School Community Library;12 East Tce, Port Broughton  5522;8635 2863;lyn.brown@pbas.sa.edu.au;http://www.barungawest.sa.gov.au;Bute - Bute Council Office, 15 Railway Tce, Bute 5560 Tel.  8826 2011 Fax  8826 2173;NULL;Mon 8.30am - 5pm. Closed for lunch 12.45pm - 1.45pm;The Dc Of Barunga West
138.41484600;-34.14960500;40;Balaklava Community Library;May Tce, Balaklava  5461;8862 1336;admin.bcl@balakhs.sa.edu.au;http://www.balakhs.sa.edu.au;NULL;NULL;Mon - Fri 9am - 5pm, Thurs 9am - 9pm, Sat 9am - 12 noon;Wakefield Regional Council
138.22343100;-33.78549200;41;Snowtown School Community Library;Glen Davidson Dr, Snowtown  5520;8865 2006;admin@snowtownas.sa.edu.au;http://www.snowtownas.sa.edu.au/library;NULL;NULL;School terms: Mon 9am - 4pm, Tues - Fri 9am - 4.30pm, Sat 9am - 12 noon School holidays: Tues - Fri 9.30am - 3.45pm, Sat 9.30am - 12 noon;Wakefield Regional Council
138.68090500;-34.35662900;42;Hamley Bridge Library;Gilbert Street Hamley Bridge 54601;8528 2070; ;NULL;<Null>;NULL;NULL;Wakefield Regional Council
138.49032500;-33.84474700;43;Blyth Community Library;August & Wakefied Street Blyth 5462;8844 5195;info@blythps.sa.edu.au;NULL;NULL;NULL;NULL;Wakefield Regional Council
138.40431300;-33.68860400;44;Brinkworth Community Library;Belling Street Brinkworth 5464;8846 2132;info@brinkwthps.sa.edu.au;NULL;NULL;NULL;NULL;Wakefield Regional Council
138.61313500;-33.83328000;45;Clare Library;33 Old North Rd, Clare  5453;8842 3817;clare.library@plain.sa.gov.au;http://www.claregilbertvalleys.sa.gov.au;Auburn - 6 St Vincent Street, Auburn 5451 Hours: Tues 3pm-4.30pm, Wed 11am-12 noon, Thurs 7pm-8pm, Fri 3pm-4.30pm Manoora - Manoora Institute Building, Manoora 5414 Hours: Fri 6pm-7.30pm Watervale - Main North Rd, Watervale 5452 Hours: Sat 9.30am-10.30am;NULL;Tues, Wed, Fri 10am - 6pm, Thurs 10am - 8pm, Sat 10am - 12 noon, Sun, 10am - 1pm;Clare And Gilbert Valleys Council
138.75061900;-34.15621200;46;Riverton Community Library;Oxford Tce, Riverton  5412;8847 2414;NULL;http://www.claregilbertvalleys.sa.gov.au;NULL;NULL;School terms: Tues 3pm - 6pm, Wed - Fri 10am - 6pm (closed for lunch 12.50pm - 1.40pm), Sat 10am - 12 noon School holidays: Tues - Fri 10am - 6pm (closed for lunch 1.30pm - 2pm);Clare And Gilbert Valleys Council
138.78285000;-34.08480300;47;Saddleworth Library & Community Centre;19 Belvidere Rd, Saddleworth  5413;8847 4096;saddleworth.library@plain.sa.gov.au;http://www.claregilbertvalleys.sa.gov.au;NULL;Incorporates the Saddleworth Rural Transaction Centre;Tues - Fri 8.30am - 12pm, 1pm - 5pm, Sat 9.30 - 12pm;Clare And Gilbert Valleys Council
138.64510100;-33.95882800;48;Watervale Library;Lot 293, Main North Road, Watervale;08 88474096;saddleworth.library@plain.sa.gov.au;http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171;<Null>;NULL;Hours: Sat 9.30am-10.30am;Clare And Gilbert Valleys Council
138.81742400;-33.99995700;49;Manoora Library;Manoora Institute Building, Barrier Highway, Manoora;08 88474096;saddleworth.library@plain.sa.gov.au;http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171;<Null>;NULL;Hours: Fri 6pm-7.30pm;Clare And Gilbert Valleys Council
138.68463900;-34.02645500;50;Auburn Library;6 St Vincent St, Auburn;08 88492414;saddleworth.library@plain.sa.gov.au;http://www.claregilbertvalleys.sa.gov.au/site/page.cfm?u=171;<Null>;NULL;Hours: Tues 3pm-4.30pm, Wed 11am-12 noon, Thurs 7pm-8pm, Fri 3pm-4.30pm;Clare And Gilbert Valleys Council
137.71619600;-33.96030400;51;Kadina Community Library;1a Doswell Tce, Kadina  5554;8821 0444;kadina.library@plain.sa.gov.au;http://www.coppercoast.sa.gov.au;NULL;NULL;Mon - Wed, Fri 9am - 5.30pm, Thurs 9am - 8pm, Sat 9am - 12 noon Toy library: Thurs 5pm - 8pm, Fri 9am - 5.30pm, Sat 9am - 11.30am;Dc Of The Copper Coast
137.59248500;-34.06923000;52;Moonta Community Library;Blanche Tce, Moonta  5558;8825 1511;mlibrary@moontaas.sa.edu.au;http://www.coppercoast.sa.gov.au;NULL;NULL;Tues, Wed, Fri 9am - 4pm, Thurs 9am - 6pm, Sun 1.30pm - 4pm;Dc Of The Copper Coast
137.62524200;-33.93112500;53;Wallaroo Library;John St, Wallaroo  5556;8823 2924;NULL;http://www.coppercoast.sa.gov.au;NULL;NULL;Tues - Fri 9am - 5pm;Dc Of The Copper Coast
139.28090000;-34.65681200;54;Cambrai School Community Library;1 Main St, Cambrai  5353;8564 5146;library@cambraias.sa.edu.au;http://www.libraries.sa.gov.au;NULL;NULL;School term: Mon, Wed, Fri 9am - 3.30pm, Tues 9am - 3.30pm, 6.30pm - 8.30pm, Thurs 9am - 4.30pm School holidays: Tues 4.30pm - 8.30pm, Wed - Fri 9.30am - 4pm (closed 1pm - 1.30pm);Mid Murray Council
139.30468200;-34.91271800;55;Mannum School Community Library;Walker Ave, Mannum  5238;8569 2005;library@mcc.sa.edu.au;http://www.mcc.sa.edu.au;NULL;NULL;School terms: Mon, Thurs, Fri 9am - 4pm, Tues 9am - 3.30pm, Wed 9am - 8pm, Sat 9.30am - 12 noon, School holidays: Mon - Fri 10am - 2pm, Wed 10am - 2pm, 4pm - 8pm, Sat 10am - 12 noon;Mid Murray Council
139.66874000;-34.03289800;56;Morgan Public Library;Ninth St, Morgan  5320;8540 2290;morlib@mid-murray.sa.gov.au;http://www.loxtonwaikerie.sa.gov.au;NULL;NULL;Mon 2.30pm - 5.30pm, Wed 1pm - 5pm, Fri 9am - 12 noon;Mid Murray Council
139.60192600;-34.57253100;57;Swan Reach School Community Library;Showground Rd, Swan Reach  5354;8570 2053;NULL;http://www.swanrchas.sa.edu.au;NULL;NULL;School terms: Mon, Thurs, Fri 9am - 4pm, Tues, Wed 9am - 5pm School holidays: Mon, Tues, Thurs, Fri 11am - 4pm;Mid Murray Council
136.10048300;-34.37649600;58;Tumby Bay School Community Library;28 West Tce, Tumby Bay  5605;8688 2471;NULL;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon, Thurs 9am - 4pm, Tues 9am - 4pm, 7pm - 8pm, Wed, Fri 9am - 6pm, Sat 10am - 12 noon, School holidays: Tues 10am - 3.30pm, 7pm - 8pm, Wed 10am - 5.30pm, Thurs, Fri 9am - 4pm, Sat 10am - 12 noon;The Dc Of Tumby Bay
135.72353700;-34.26444900;59;Cummins School Community Library;McFarlane St, Cummins  5631;8676 2476;cummins.library@plain.sa.gov.au;http://www.cumminsas.sa.edu.au;NULL;NULL;School terms: Mon 9am - 4pm, Tues, Thurs 9am - 6pm, Wed, Fri 9am - 5pm, Sat 10am - 12 noon School holidays: Tues, Thurs 9am - 1.30pm, 2.30pm - 6pm, Wed 12.30pm - 5pm, Fri 9am - 1.30pm, 2.30pm - 5pm, Sat 10am - 12 noon Coffin Bay depot: Sat 10am - 12 noon;The Dc Of Lower Eyre Peninsula
140.56916100;-34.45006200;60;Loxton Public Library;East Tce, Loxton  5333;8584 8051;libmanagerlox@loxtonwaikerie.sa.gov.au;http://www.loxtonwaikerie.sa.gov.au;NULL;NULL;Tues, Wed 10am - 6pm, Thurs 10am - 8pm, Fri 10am - 5pm, Sat 9am - 12 noon;The Dc Of Loxton Waikerie
139.98599900;-34.18656500;61;Waikerie Public Library;Strangman Rd, Waikerie  5330;8541 0720;libmanagerwaik@loxtonwaikerie.sa.gov.au;http://www.loxtonwaikerie.sa.gov.au;NULL;NULL;Tues, Thurs 10.30am - 8pm, Wed, Fri 10.30am - 6pm, Sat 9.30am - 12 noon;The Dc Of Loxton Waikerie
140.75186100;-34.16764900;62;Renmark Paringa Public Library;James Ave, Renmark  5341;8586 5544;lc24mah@plain.sa.gov.au;http://www.renmarkparinga.sa.gov.au;NULL;NULL;Mon closed, Tues, Thurs, Fri 9.30am - 5.30pm, Wed 9.30am - 8pm, Sat 9.30am - 12 noon;Renmark Paringa Council
137.91624200;-34.42385400;63;Ardrossan School Community Library;14 Second St, Ardrossan  5571;8837 4134;NULL;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon, Tues, Thurs 9am - 3.30pm, Wed, Fri 9am - 6pm, Sat 10am - 1pm School holidays: Tues, Thurs 9am - 12.30pm, 1pm - 3.30pm, Wed, Fri 10.30am - 1pm, 2pm - 6pm, Sat 10am - 1pm;The Dc Of Yorke Peninsula
137.67389500;-34.36820000;64;Maitland School Community Library;Junction Rd, Maitland  5573;8832 2805;NULL;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon, Wed, Fri 8.30am - 4.30pm, Tues, Thurs 8.30am - 7pm School holidays: Mon, Wed, Fri 10am - 2pm, Tues Thurs 3pm - 7pm;The Dc Of Yorke Peninsula
137.59333200;-34.76594300;65;Minlaton School Community Library;2 North Tce, Minlaton  5575;8853 2339;NULL;http://www.minlatonds.sa.edu.au/library;Curramulka Depot in the Curramulka Institute Port Vincent Depot in the Port Vincent Institute;NULL;School terms: Mon, Wed, Fri 8.30am - 4.30pm, Tues, Thurs 8.30am - 3.30pm, 5pm - 7pm, School holidays: Tues, Thurs 10am - 12.30pm, 1.30pm - 4pm, 5pm - 7pm, Wed, Fri 10am - 12.30pm, 1.30pm - 4pm;The Dc Of Yorke Peninsula
137.61535000;-35.01700300;66;Yorketown Area School Community Library;Stansbury Rd, Yorketown  5576;8852 1647;NULL;http://www.libraries.sa.gov.au;NULL;NULL;School terms: Mon, Wed, Fri 8.45am - 5pm, Tues, Thurs 8.45am - 5pm, 6.30 - 8.30pm School holidays: Mon 2pm - 5pm, Tues 2pm - 5pm, 6.30 - 8.30pm, Wed 10.30pm - 1pm, 2pm - 5pm, Thurs 10.30pm - 1pm, 2pm - 5pm, 6.30 - 8.30pm, Fri 10.30pm - 1pm, 2pm - 5pm;The Dc Of Yorke Peninsula
137.40196900;-34.99056300;67;Warooka Library Depot;Player St, Warooka SA;NULL; ;http://www.yorke.sa.gov.au/content/view/160/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.79687900;-34.91078200;68;Stansbury Library Depot;Stansbury Institute, Weaver St, Stansbury SA;NULL; ;http://www.yorke.sa.gov.au/content/view/159/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.86206500;-34.77790300;69;Port Vincent Library Depot;19 Marine Parade, Port Vincent, SA;NULL; ;http://www.yorke.sa.gov.au/content/view/158/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.75675500;-34.25947500;70;Arthurton Library Depot;Main St, Arthurton SA;NULL; ;http://www.yorke.sa.gov.au/content/view/462/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.48451100;-34.49749800;71;Port Victoria Library Depot;Main St, Port Victoria SA;NULL; ;http://www.yorke.sa.gov.au/content/view/157/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
136.98073800;-35.23769900;72;Marion Bay Library Depot;Slow St, Marion Bay SA;NULL; ;http://www.yorke.sa.gov.au/content/view/155/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.74552200;-35.08593400;73;Edithburgh Library Depot;30 Blanche St, Edithburgh, SA;NULL; ;http://www.yorke.sa.gov.au/content/view/153/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.71159900;-34.69718500;74;Carramulka Library Depot;6 High St, Curramulka, SA;NULL; ;http://www.yorke.sa.gov.au/content/view/152/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
137.08335500;-34.92608300;75;Corny Point Library Depot;Cnr Liddiards and Rockleigh Rd, Corny Point, SA;NULL; ;http://www.yorke.sa.gov.au/content/view/151/253/;NULL;NULL;NULL;The Dc Of Yorke Peninsula
140.46445600;-34.25207200;76;Barmera Public Library;4c Barwell Ave, Barmera  5345;8588 2872;bbc@berribarmera.sa.gov.au;http://www.berribarmera.sa.gov.au;NULL;NULL;Mon 9.30am - 1pm, Tues, Wed, Fri 9.30am - 5.30pm, Thurs 9.30am - 6pm, Sat 9am - 12 noon, After hours returns available;The Berri Barmera Council
140.60817400;-34.27967000;77;Berri Library & Information Centre;Kay Ave, Berri  5343;8595 2666;berri.library@tafesa.edu.au;http://www.berrilibrary.info;NULL;NULL;School terms: Mon - Wed, Fri 8am - 6pm, Thurs 8am - 8pm, Sat 9am - 12 noon, School holidays: Mon, Wed, Fri 9am - 5pm, Tues 9am - 6pm, Thurs 9am - 8pm, Sat 9am - 12 noon, After hours returns available;The Berri Barmera Council
138.81023400;-34.45424000;78;Light Regional Public Library Service - Freeling;Hanson St, Freeling  5372;8525 3240;library@light.sa.gov.au;http://www.light.sa.gov.au;NULL;NULL;Mon 3pm - 8pm, Wed 2pm - 6pm, Thurs 2pm - 5pm, Fri 10am - 12 noon;Light Regional Council
138.92700900;-34.45724900;79;Light Regional Public Library Service - Greenock;Kapunda Rd, Greenock  5360;8562 8308;library@light.sa.gov.au;http://www.light.sa.gov.au;NULL;NULL;Tues 7pm - 8pm, Thurs 9.30am - 10.30am, Fri 3pm - 5pm;Light Regional Council
138.91509000;-34.34071100;80;Light Regional Public Library Service - Kapunda;51 - 53 Main St, Kapunda  5373;8525 3290;library@light.sa.gov.au;http://www.light.sa.gov.au;NULL;Co-located with [!4ROG13G5!11], Interpretive Display, Community Art Gallery and Community Craft Shop.;Mon - Wed, Fri 9am - 5pm, Thurs 9am - 8pm, Sat, Sun, public holidays 10am - 4pm, Closed Good Friday & Christmas Day, After hours returns available;Light Regional Council
138.68344800;-34.47040600;81;Wasleys Public Library;45-47 Annie Terrace, Wasleys 5400;NULL; ;http://www.light.sa.gov.au/site/page.cfm?u=218;<Null>;NULL;NULL;Light Regional Council
138.51484000;-34.59402900;82;Two Wells Public Library;61 Old Port Wakefield Rd, Two Wells  5501;8520 2100;NULL;http://www.mallala.sa.gov.au;Windsor Institute, Windsor 5501 Sun 10am - 11am Mallala - Redbanks Rd, Mallala 5502 (behind council office) Wed 10am - 12 noon, Fri 3pm - 5pm;NULL;Tues, Thurs 9.30am - 5pm, Wed 1pm - 7pm, Fri 9.30am - 3pm, Sat 9am - 11am;The Dc Of Mallala
139.04409000;-34.50475600;83;Barossa Council Library Service - Angaston;Washington St, Angaston  5353;8564 2369;library@barossa.sa.gov.au;http://www.barossa.sa.gov.au;NULL;Council Services including information, Payments available.;Mon 2pm - 6pm, Tues 9am - 1pm, Wed - Fri 1pm - 5pm, After hours returns available;The Barossa Council
138.89057200;-34.60247100;84;Barossa Council Library Service - Lyndoch;8 Lyndoch Valley Rd, Lyndoch  5351;8524 4009;library@barossa.sa.gov.au;http://www.barossa.sa.gov.au;NULL;Council Services including information, Payments available.;Mon, Wed - Fri 9am - 12.30pm, 1.30pm - 5pm, Tues 9am - 12.30pm, 1.30pm - 6pm, Sat 9am - 12 noon, After hours returns available;The Barossa Council
139.03129800;-34.78397600;85;Barossa Council Library Service - Mount Pleasant;Melrose St, Mount Pleasant  5235;8568 2407;library@barossa.sa.gov.au;http://www.barossa.sa.gov.au;NULL;Council Services including information, Payments available.;Mon - Wed, Fri 9am - 12.30pm, 1.30pm - 5pm, Thurs 9am - 12.30pm, 1.30pm - 6pm, After hours returns available;The Barossa Council
